DateTime,Observed_QM,TOPKAPI_Q,Residual_LSTM_Prediction,Residual
2024-01-23 06:00:00,0.64,0.7,0.9199095636606216,0.21990956
2024-01-23 07:00:00,0.61,0.7,0.9158571779727935,0.21585718
2024-01-23 08:00:00,0.61,0.7,0.9120225578546524,0.21202256
2024-01-23 09:00:00,0.61,0.7,0.9087465524673461,0.20874655
2024-01-23 10:00:00,0.61,0.7,0.9060954570770263,0.20609546
2024-01-23 11:00:00,0.56,0.7,0.9043817192316055,0.20438172
2024-01-23 12:00:00,0.56,0.7,0.9048740684986114,0.20487407
2024-01-23 13:00:00,0.56,0.7,0.9079038918018341,0.20790389
2024-01-23 14:00:00,0.61,0.69,0.8930656337738037,0.20306563
2024-01-23 15:00:00,0.61,0.69,0.889969545006752,0.19996955
2024-01-23 16:00:00,0.58,0.69,0.8892594301700592,0.19925943
2024-01-23 17:00:00,0.56,0.69,0.8902535909414291,0.20025359
2024-01-23 18:00:00,0.56,0.69,0.8918158435821533,0.20181584
2024-01-23 19:00:00,0.58,0.69,0.8999395543336868,0.20993955
2024-01-23 20:00:00,0.53,0.68,0.8946168351173401,0.21461684
2024-01-23 21:00:00,0.53,0.68,0.8894377428293229,0.20943774
2024-01-23 22:00:00,0.53,0.68,0.9000989276170731,0.22009893
2024-01-23 23:00:00,0.5,0.68,0.9012824523448945,0.22128245
2024-01-24 00:00:00,0.5,0.68,0.8969270813465119,0.21692708
2024-01-24 01:00:00,0.53,0.67,0.873236073255539,0.20323607
2024-01-24 02:00:00,0.53,0.67,0.8663621526956559,0.19636215
2024-01-24 03:00:00,0.53,0.67,0.8647146952152253,0.1947147
2024-01-24 04:00:00,0.53,0.67,0.8574620467424393,0.18746205
2024-01-24 05:00:00,0.53,0.67,0.8535990250110627,0.18359903
2024-01-24 06:00:00,0.53,0.67,0.852008370757103,0.18200837
2024-01-24 07:00:00,0.5,0.67,0.8524439018964768,0.1824439
2024-01-24 08:00:00,0.5,0.67,0.8539020103216172,0.18390201
2024-01-24 09:00:00,0.56,0.66,0.8454074448347092,0.18540744
2024-01-24 10:00:00,0.53,0.66,0.8460039532184601,0.18600395
2024-01-24 11:00:00,0.5,0.66,0.845947135090828,0.18594714
2024-01-24 12:00:00,0.53,0.66,0.8459187334775925,0.18591873
2024-01-24 13:00:00,0.53,0.66,0.8467519319057465,0.18675193
2024-01-24 14:00:00,0.53,0.66,0.8475472664833069,0.18754727
